Episode no = 1430; won: False; Q(s,a) = nan; reward = -489.0; and epsilon = 0.8093333333333333, win percentage = 0.0, 2022-05-01 19:44:33
Episode no = 1440; won: False; Q(s,a) = 86.84588995536753; reward = -472.0; and epsilon = 0.808, win percentage = 0.0, 2022-05-01 19:44:37
Episode no = 1450; won: False; Q(s,a) = 87.29041509218739; reward = -335.0; and epsilon = 0.8066666666666666, win percentage = 0.0, 2022-05-01 19:44:41
Episode no = 1460; won: False; Q(s,a) = -182.86807441880111; reward = -481.0; and epsilon = 0.8053333333333333, win percentage = 0.0, 2022-05-01 19:44:45
Episode no = 1470; won: False; Q(s,a) = 119.45049523749674; reward = -340.0; and epsilon = 0.804, win percentage = 0.0, 2022-05-01 19:44:51
Episode no = 1480; won: False; Q(s,a) = nan; reward = -468.0; and epsilon = 0.8026666666666666, win percentage = 0.0, 2022-05-01 19:44:56
Episode no = 1490; won: False; Q(s,a) = 87.15365889858032; reward = -465.0; and epsilon = 0.8013333333333333, win percentage = 0.0, 2022-05-01 19:44:59
Episode no = 1500; won: False; Q(s,a) = 102.46215673796934; reward = -438.0; and epsilon = 0.8, win percentage = 0.0, 2022-05-01 19:45:03
Episode no = 1510; won: False; Q(s,a) = 93.49729446647251; reward = -302.0; and epsilon = 0.7986666666666666, win percentage = 0.0, 2022-05-01 19:45:10
Episode no = 1520; won: False; Q(s,a) = 90.64720969734091; reward = -325.0; and epsilon = 0.7973333333333333, win percentage = 0.0, 2022-05-01 19:45:14
Episode no = 1530; won: False; Q(s,a) = 90.45055928563788; reward = -427.0; and epsilon = 0.796, win percentage = 0.0, 2022-05-01 19:45:18
Episode no = 1540; won: False; Q(s,a) = 135.00441318677986; reward = -465.0; and epsilon = 0.7946666666666666, win percentage = 0.0, 2022-05-01 19:45:24
Episode no = 1550; won: False; Q(s,a) = 87.85766512673815; reward = -374.0; and epsilon = 0.7933333333333333, win percentage = 0.0, 2022-05-01 19:45:28
Episode no = 1560; won: False; Q(s,a) = 83.20466423541232; reward = -452.0; and epsilon = 0.792, win percentage = 0.0, 2022-05-01 19:45:31
Episode no = 1570; won: False; Q(s,a) = 92.69199769802663; reward = -420.0; and epsilon = 0.7906666666666666, win percentage = 0.0, 2022-05-01 19:45:35
Episode no = 1580; won: False; Q(s,a) = 89.57807691822556; reward = -403.0; and epsilon = 0.7893333333333333, win percentage = 0.0, 2022-05-01 19:45:39
Episode no = 1590; won: False; Q(s,a) = 84.38272863948546; reward = -439.0; and epsilon = 0.788, win percentage = 0.0, 2022-05-01 19:45:44
Episode no = 1600; won: False; Q(s,a) = nan; reward = -468.0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2022-05-01 19:45:48
Episode no = 1610; won: False; Q(s,a) = 94.20623813324235; reward = -431.0; and epsilon = 0.7853333333333333, win percentage = 0.0, 2022-05-01 19:45:52
Episode no = 1620; won: False; Q(s,a) = 98.72824024819633; reward = -435.0; and epsilon = 0.784, win percentage = 0.0, 2022-05-01 19:45:57
Episode no = 1630; won: False; Q(s,a) = 99.90735962951156; reward = -387.0; and epsilon = 0.7826666666666666, win percentage = 0.0, 2022-05-01 19:46:00
Episode no = 1640; won: False; Q(s,a) = 87.14597217843351; reward = -454.0; and epsilon = 0.7813333333333333, win percentage = 0.0, 2022-05-01 19:46:02
Episode no = 1650; won: False; Q(s,a) = 96.47736112172844; reward = -464.0; and epsilon = 0.78, win percentage = 0.0, 2022-05-01 19:46:07
